Age of 118th Congress,Title,Party,Birth Month & Day,Age,Number of Terms
Rep. Lisa Blunt Rochester (D-DE-1),US Representative,Democrat,2/10/1962,61.0,4
Rep. Lauren Boebert (R-CO-3),US Representative,Republican,12/15/1986,36.0,2
Rep. Suzanne Bonamici (D-OR-1),US Representative,Democrat,10/14/1954,69.0,7
Rep. Mike Bost (R-IL-12),US Representative,Republican,12/30/1960,62.0,5
Rep. Jamaal Bowman (D-NY-16),US Representative,Democrat,4/1/1976,47.0,2
Rep. Brendan Boyle (D-PA-2),US Representative,Democrat,2/6/1977,46.0,5
Rep. Josh Brecheen (R-OK-2),US Representative,Republican,6/19/1979,44.0,1
Rep. Shontel Brown (D-OH-11),US Representative,Democrat,6/24/1975,48.0,2
Rep. Julia Brownley (D-CA-26),US Representative,Democrat,8/28/1952,71.0,6
Rep. Vern Buchanan (R-FL-16),US Representative,Republican,5/8/1951,72.0,9
Rep. Ken Buck (R-CO-4),US Representative,Republican,2/16/1959,64.0,5
Rep. Larry Bucshon (R-IN-8),US Representative,Republican,5/31/1962,61.0,7
Rep. Nikki Budzinski (D-IL-13),US Representative,Democrat,3/11/1977,46.0,1
Rep. Tim Burchett (R-TN-2),US Representative,Republican,8/25/1964,59.0,3
"Rep. Michael ""Mike"" Burgess (R-TX-26)",US Representative,Republican,12/23/1950,72.0,11
Rep. Eric Burlison (R-MO-7),US Representative,Republican,10/2/1976,47.0,1
Rep. Cori Bush (D-MO-1),US Representative,Democrat,7/21/1976,47.0,2
Rep. Ken Calvert (R-CA-41),US Representative,Republican,6/8/1953,70.0,16
Rep. Kat Cammack (R-FL-3),US Representative,Republican,2/16/1988,35.0,2
Rep. Yadira Caraveo (D-CO-8),US Representative,Democrat,12/23/1980,42.0,1
Rep. Salud Carbajal (D-CA-24),US Representative,Democrat,11/18/1964,58.0,4
Rep. Tony Cardenas (D-CA-29),US Representative,Democrat,3/31/1963,60.0,6
Rep. Mike Carey (R-OH-15),US Representative,Republican,3/13/1971,52.0,2
Rep. Jerry Carl (R-AL-1),US Representative,Republican,6/17/1958,65.0,2
Rep. Andre Carson (D-IN-7),US Representative,Democrat,10/16/1974,49.0,9
Rep. Buddy Carter (R-GA-1),US Representative,Republican,9/6/1957,66.0,5
Rep. John Carter (R-TX-31),US Representative,Republican,11/6/1941,81.0,11
Rep. Troy Carter (D-LA-2),US Representative,Democrat,10/26/1963,59.0,2
Rep. Matt Cartwright (D-PA-8),US Representative,Democrat,5/1/1961,62.0,6
Rep. Greg Casar (D-TX-35),US Representative,Democrat,5/4/1989,34.0,1
Rep. Ed Case (D-HI-1),US Representative,Democrat,9/27/1952,71.0,3
Rep. Sean Casten (D-IL-6),US Representative,Democrat,11/23/1971,51.0,3
Rep. Kathy Castor (D-FL-14),US Representative,Democrat,8/20/1966,57.0,9
Rep. Joaquin Castro (D-TX-20),US Representative,Democrat,9/16/1974,49.0,6
Rep. Lori Chavez-DeRemer (R-OR-5),US Representative,Republican,4/7/1968,55.0,1
Rep. Sheila Cherfilus-McCormick (D-FL-20),US Representative,Democrat,1/25/1979,44.0,2
Rep. Judy Chu (D-CA-28),US Representative,Democrat,7/7/1953,70.0,8
Rep. Juan Ciscomani (R-AZ-6),US Representative,Republican,8/31/1982,41.0,1
Whip Katherine Clark (D-MA-5),US Representative,Democrat,7/17/1963,60.0,6
Rep. Yvette Clarke (D-NY-9),US Representative,Democrat,11/21/1964,58.0,9
Rep. Emanuel Cleaver (D-MO-5),US Representative,Democrat,10/26/1944,78.0,10
Rep. Ben Cline (R-VA-6),US Representative,Republican,2/29/1972,51.0,3
Rep. Michael Cloud (R-TX-27),US Representative,Republican,5/13/1975,48.0,4
"Rep. James ""Jim"" Clyburn (D-SC-6)",US Representative,Democrat,7/21/1940,83.0,16
Rep. Andrew Clyde (R-GA-9),US Representative,Republican,11/22/1963,59.0,2
Rep. Steve Cohen (D-TN-9),US Representative,Democrat,5/24/1949,74.0,9
Rep. Tom Cole (R-OK-4),US Representative,Republican,4/28/1949,74.0,11
Rep. Mike Collins (R-GA-10),US Representative,Republican,7/2/1967,56.0,1
Rep. James Comer (R-KY-1),US Representative,Republican,8/19/1972,51.0,5
Rep. Gerry Connolly (D-VA-11),US Representative,Democrat,3/30/1950,73.0,8
Rep. Lou Correa (D-CA-46),US Representative,Democrat,1/24/1958,65.0,4
Rep. Jim Costa (D-CA-21),US Representative,Democrat,4/13/1952,71.0,10
Rep. Joe Courtney (D-CT-2),US Representative,Democrat,4/6/1953,70.0,9
Rep. Angie Craig (D-MN-2),US Representative,Democrat,2/14/1972,51.0,3
Rep. Eli Crane (R-AZ-2),US Representative,Republican,1/3/1980,43.0,1
Rep. Rick Crawford (R-AR-1),US Representative,Republican,1/22/1966,57.0,7
Rep. Dan Crenshaw (R-TX-2),US Representative,Republican,3/14/1984,39.0,3
Rep. Jasmine Crockett (D-TX-30),US Representative,Democrat,3/29/1981,42.0,1
Rep. Jason Crow (D-CO-6),US Representative,Democrat,3/15/1979,44.0,3
Rep. Henry Cuellar (D-TX-28),US Representative,Democrat,9/19/1955,68.0,10
Rep. John Curtis (R-UT-3),US Representative,Republican,5/10/1960,63.0,4
Rep. Sharice Davids (D-KS-3),US Representative,Democrat,5/22/1980,43.0,3
Rep. Warren Davidson (R-OH-8),US Representative,Republican,3/1/1970,53.0,5
Rep. Danny Davis (D-IL-7),US Representative,Democrat,9/6/1941,82.0,14
Rep. Don Davis (D-NC-1),US Representative,Democrat,8/29/1971,52.0,1
Rep. Madeleine Dean (D-PA-4),US Representative,Democrat,6/6/1959,64.0,3
Rep. Diana DeGette (D-CO-1),US Representative,Democrat,7/29/1957,66.0,14
Rep. Monica De La Cruz (R-TX-15),US Representative,Republican,11/11/1974,48.0,1
Rep. Rosa DeLauro (D-CT-3),US Representative,Democrat,3/2/1943,80.0,17
Rep. Suzan DelBene (D-WA-1),US Representative,Democrat,2/17/1962,61.0,7
Rep. Chris Deluzio (D-PA-17),US Representative,Democrat,7/13/1984,39.0,1
Rep. Mark DeSaulnier (D-CA-10),US Representative,Democrat,3/31/1952,71.0,5
Rep. Scott DesJarlais (R-TN-4),US Representative,Republican,2/21/1964,59.0,7
Rep. Anthony D'Esposito (R-NY-4),US Representative,Republican,2/22/1982,41.0,1
Rep. Mario Diaz-Balart (R-FL-26),US Representative,Republican,9/25/1961,62.0,11
Rep. Debbie Dingell (D-MI-6),US Representative,Democrat,11/23/1953,69.0,5
Rep. Lloyd Doggett (D-TX-37),US Representative,Democrat,10/6/1946,77.0,15
Rep. Byron Donalds (R-FL-19),US Representative,Republican,10/28/1978,44.0,2
Rep. John Duarte (R-CA-13),US Representative,Republican,9/9/1966,57.0,1
Rep. Jeff Duncan (R-SC-3),US Representative,Republican,1/7/1966,57.0,7
Rep. Neal Dunn (R-FL-2),US Representative,Republican,2/16/1953,70.0,4
Rep. Chuck Edwards (R-NC-11),US Representative,Republican,9/13/1960,63.0,1
Rep. Jake Ellzey (R-TX-6),US Representative,Republican,1/24/1970,53.0,2
Whip Tom Emmer (R-MN-6),US Representative,Republican,3/3/1961,62.0,5
Rep. Veronica Escobar (D-TX-16),US Representative,Democrat,9/15/1969,54.0,3
Rep. Anna Eshoo (D-CA-16),US Representative,Democrat,12/13/1942,80.0,16
Rep. Adriano Espaillat (D-NY-13),US Representative,Democrat,9/27/1954,69.0,4
Rep. Ron Estes (R-KS-4),US Representative,Republican,7/19/1956,67.0,4
Rep. Dwight Evans (D-PA-3),US Representative,Democrat,5/16/1954,69.0,5
Rep. Mike Ezell (R-MS-4),US Representative,Republican,,,1
Rep. Pat Fallon (R-TX-4),US Representative,Republican,12/19/1967,55.0,2
Rep. Randy Feenstra (R-IA-4),US Representative,Republican,1/14/1969,54.0,2
Rep. Drew Ferguson (R-GA-3),US Representative,Republican,11/15/1967,55.0,4
Rep. Brad Finstad (R-MN-1),US Representative,Republican,5/30/1976,47.0,2
Rep. Michelle Fischbach (R-MN-7),US Representative,Republican,11/3/1965,57.0,2
Rep. Scott Fitzgerald (R-WI-5),US Representative,Republican,11/16/1963,59.0,2
Rep. Brian Fitzpatrick (R-PA-1),US Representative,Republican,12/17/1973,49.0,4
Rep. Chuck Fleischmann (R-TN-3),US Representative,Republican,10/11/1962,61.0,7
Rep. Lizzie Fletcher (D-TX-7),US Representative,Democrat,2/13/1975,48.0,3
Rep. Mike Flood (R-NE-1),US Representative,Republican,2/23/1975,48.0,2
Rep. Bill Foster (D-IL-11),US Representative,Democrat,10/7/1955,68.0,6
Rep. Valerie Foushee (D-NC-4),US Representative,Democrat,5/7/1956,67.0,1
Rep. Virginia Foxx (R-NC-5),US Representative,Republican,6/29/1943,80.0,10
Rep. Lois Frankel (D-FL-22),US Representative,Democrat,5/16/1948,75.0,6
Rep. Scott Franklin (R-FL-18),US Representative,Republican,8/23/1964,59.0,2
Rep. Maxwell Frost (D-FL-10),US Representative,Democrat,1/17/1997,26.0,1
Rep. Russell Fry (R-SC-7),US Representative,Republican,1/31/1985,38.0,1
Rep. Russ Fulcher (R-ID-1),US Representative,Republican,3/9/1962,61.0,3
Rep. Matt Gaetz (R-FL-1),US Representative,Republican,5/7/1982,41.0,4
Rep. Mike Gallagher (R-WI-8),US Representative,Republican,3/3/1984,39.0,4
Rep. Ruben Gallego (D-AZ-3),US Representative,Democrat,11/20/1979,43.0,5
Rep. John Garamendi (D-CA-8),US Representative,Democrat,1/24/1945,78.0,8
Rep. Andrew Garbarino (R-NY-2),US Representative,Republican,9/27/1984,39.0,2
"Rep. Jesús ""Chuy"" Garcia (D-IL-4)",US Representative,Democrat,4/12/1956,67.0,3
Rep. Mike Garcia (R-CA-27),US Representative,Republican,4/24/1976,47.0,3
Rep. Robert Garcia (D-CA-42),US Representative,Democrat,12/2/1977,45.0,1
Rep. Sylvia Garcia (D-TX-29),US Representative,Democrat,9/6/1950,73.0,3
Rep. Carlos Gimenez (R-FL-28),US Representative,Republican,1/17/1954,69.0,2
Rep. Marie Gluesenkamp Perez (D-WA-3),US Representative,Democrat,6/4/1988,35.0,1
Rep. Jared Golden (D-ME-2),US Representative,Democrat,7/25/1982,41.0,3
Rep. Dan Goldman (D-NY-10),US Representative,Democrat,2/26/1976,47.0,1
Rep. Jimmy Gomez (D-CA-34),US Representative,Democrat,11/25/1974,48.0,4
Rep. Tony Gonzales (R-TX-23),US Representative,Republican,10/10/1980,43.0,2
Rep. Vicente Gonzalez (D-TX-34),US Representative,Democrat,9/4/1967,56.0,4
Commish. Jenniffer González-Colón (R-PR-1),US Resident Commissioner,Republican,8/5/1976,47.0,2
Rep. Bob Good (R-VA-5),US Representative,Republican,9/11/1965,58.0,2
Rep. Lance Gooden (R-TX-5),US Representative,Republican,12/1/1982,40.0,3
Rep. Paul Gosar (R-AZ-9),US Representative,Republican,11/27/1958,64.0,7
Rep. Josh Gottheimer (D-NJ-5),US Representative,Democrat,3/8/1975,48.0,4
Rep. Kay Granger (R-TX-12),US Representative,Republican,1/18/1943,80.0,14
Rep. Garret Graves (R-LA-6),US Representative,Republican,1/31/1972,51.0,5
Rep. Sam Graves (R-MO-6),US Representative,Republican,11/7/1963,59.0,12
Rep. Al Green (D-TX-9),US Representative,Democrat,9/1/1947,76.0,10
Rep. Mark Green (R-TN-7),US Representative,Republican,11/8/1964,58.0,3
Rep. Marjorie Greene (R-GA-14),US Representative,Republican,5/27/1974,49.0,2
Rep. Morgan Griffith (R-VA-9),US Representative,Republican,3/15/1958,65.0,7
Rep. Raúl Grijalva (D-AZ-7),US Representative,Democrat,2/19/1948,75.0,11
Rep. Glenn Grothman (R-WI-6),US Representative,Republican,7/3/1955,68.0,5
Rep. Michael Guest (R-MS-3),US Representative,Republican,2/4/1970,53.0,3
Rep. Brett Guthrie (R-KY-2),US Representative,Republican,2/18/1964,59.0,8
Rep. Harriet Hageman (R-WY-1),US Representative,Republican,10/18/1962,61.0,1
Rep. Josh Harder (D-CA-9),US Representative,Democrat,8/1/1986,37.0,3
Rep. Andy Harris (R-MD-1),US Representative,Republican,1/25/1957,66.0,7
Rep. Diana Harshbarger (R-TN-1),US Representative,Republican,1/1/1960,63.0,2
Rep. Jahana Hayes (D-CT-5),US Representative,Democrat,3/8/1973,50.0,3
